"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59"
-0.172 -0.12 -0.027 -1.126 0.251 -0.313 -0.344 -0.525 -0.821 -0.798 0.27 -0.037 1.046 0.402 -0.439 -0.07 -0.556 -0.589 1.846 1.032 0.127 0.936 -0.206 -0.05 -0.517 0.092 -0.404 -0.687 -0.577 -0.272 -0.874 -0.221 -0.414 -0.468 -0.648 -0.257 0.422 0.742 -0.877 -0.206 -0.38 0.581 0.1 -0.112 0.174 0.538 -0.423 -0.727 0.423 -0.009 0.744 -0.604 -0.425 0.225 -0.156 0.496 0.393 -0.916 -0.44
0.687 0.164 -0.433 -0.657 0.322 0.162 0.27 -0.065 -0.006 -0.115 -0.674 0.267 -0.085 0.172 0.216 0.374 0.601 1.097 0.418 0.314 -0.484 0.426 0.586 0.769 0.017 1.055 0.046 -0.372 -0.368 0.868 0.596 -0.849 -0.552 0.767 0.36 0.362 0.424 -0.416 -0.621 0.291 0.57 -0.472 0.097 0.084 0.269 0.136 0.102 0.043 -1.151 0.975 -0.035 -0.94 -0.901 -0.29 0.611 0.394 0.575 -1.487 -0.975
-0.064 0.257 0.275 0.714 0.56 0.249 0.073 -0.482 0.437 -0.811 -0.988 0.759 0.259 0.818 0.315 0.247 0.682 0.533 -0.695 0.351 0.567 0.691 -0.364 0.166 0.093 0.165 0.292 -0.023 0.049 -0.106 0.292 0.655 -0.496 -0.191 0.14 -0.209 0.191137770549996 -0.231 -0.776 1.348 -0.798 -0.024 -0.125 0.811 -0.811 0.083 -0.49 0.515 -0.996 -0.137 -0.48 -1.248 -0.249 0.197 0.982 0.27 -0.402 -1.268 -0.651
0.035 1.2 0.216 -0.069 0.367 -0.008 0.222 -0.236 0.665 0.278 -0.564 -1.056 -0.166 0.077 0.451 0.525 0.204 1.616 -0.918 1.151 -0.308 -0.084 0.003 -0.046 -0.079 0.376 -0.286 -0.184 0.371 0.29 0.429 -0.888 0.001 0.483 0.312 -1.294 -0.783 -0.828 0.778 -0.51 -0.124 -0.302 0.095 0.337 -0.71 -0.377 -0.078 1.094 -0.869 0.21 -0.844 0.189 -0.334 -0.529 -0.096 0.123 -0.395 -0.188 0.045
-0.408 -0.007 0.529 0.386 -0.438 0.362 0.246 -0.69 -0.466 -0.674 -1.203 -0.329 -0.543 0.479 -0.184 -0.476 0.041 0.648 -0.176 0.146 0.522 -0.698 -0.668 -0.443 0.22 -0.086 -1.21 -1.217 -0.263 0.767 0.083 0.561 0.484 -0.021 0.361 0.603 0.57 0.04 -0.346 1.04 -0.259 -0.743 0.856 0.781 -0.382 0.298 0.286 0.911 -0.305 0.087 1.099 0.15 -0.705 0.654 0.717 0.402 0.116 -0.389 0.41
-0.202 0.16 0.001 -0.23 -0.276 0.578 0.113 -0.065 0.137 0.275 -0.275 0.244 0.157 0.23 0.812 0.852 0.359 0.991 0.119 0.182 -0.172 0.77 0.52 0.762 0.13 0.794 0.407 -0.2 0.208 0.312 0.784 -0.108 0.218 0.384 0.445 0.042 1.524 1.431 0.034 0.405 0.034 -0.102 0.45 0.152 -0.623 0.145 -0.593 0.41 -1.285 0.615 1.831 -0.74 -0.635 -0.08 0.627 0.041 0.281 -1.164 -0.646
-0.578 -0.002 1.149 0.243 -0.000921 -0.704 0.099 -0.522 -0.141 -0.066 -0.273 -0.653 -1.037 -0.363 -0.046 0.021 -0.173 -0.081 0.087 -0.716 -0.79 -0.528 -0.973 -0.569 0.113 -0.305 -0.371 -0.725 0.277 1.022 -0.094 1.65 0.049 -0.231 -0.475 0.013 -0.077 1.177 -0.672 0.509 -0.927 -0.043 -1.103 -0.06 -0.707 0.466 0.46 0.47 -0.08 -0.285 -0.535 -0.31 -0.303 -0.395 -0.413 1.283 -0.206 -0.398 -0.285
-0.0546703834980415 -1.898 -0.267 0.085 -0.165 -0.0480557924780125 -0.077 0.151 -0.174 -0.052 -0.75 0.004 -0.9 -0.074 0.174 0.664 -0.06465410783441 0.151 -0.317 -0.362 -0.252 -0.084583084297492 0.166 -0.00321165945461013 -0.422 0.836 0.127 0.0424368653873648 -0.269 0.782 -0.0382212141032943 0.0631337982013855 -0.899 -0.4 -0.213 -0.108 1.978 -0.158 0.005 -0.415 -0.027 -0.172 0.365 -0.765 -0.399 1.231 0.112 -0.0107155599625593 0.136 0.092 1.389 -0.691 0.2 -0.639 0.797 -0.209 -0.5 -0.008 -0.09
-0.617 0.565 -0.549 0.462 -0.164 -0.279 -0.092 0.007 0.508 -0.209 -0.75 -0.383 -0.414 -0.259 0.258 0.343 -0.168 -0.224 0.06 -0.391 -0.252 -0.215 0.245 0.279 -0.208 0.143 0.13 -0.215 -0.485 0.325 0.706 0.255 0.415 0.047 -0.638 0.602 0.989 0.147 0.154 2.244 0.036 0.168 -0.276 0.757 -0.436 0.852 -0.046 -0.503 -0.552 0.291 -0.347 -1.3 -0.672 -0.457 0.172 1.279 0.285 1.051 -0.273
-1.489 0.769 0.989 -0.298 -0.539 0.435 0.315 -0.236 0.128 -0.141 -1.187 -0.634 -0.801 1.288 0.098 0.293 -0.085 0.5 -0.583 -0.14 -0.927 -0.156 -0.144 0.097 0.126 0.607 0.1 -0.477 0.399 0.506 0.289 -0.801 -0.285 0.294 -0.135 -0.125 0.02 -0.011 0.217 0.284 -0.764 -0.401 -0.23 0.407 -0.904 0.018 -0.227 -0.195 -0.621 0.06 0.571 -0.959 -0.843 -1.093 -0.389 0.892 0.176 0.159 -0.841
-0.222 -0.47 0.491 0.132 -0.642 -0.904 0.751 -0.946 0.18 0.013 -0.91 -0.707 -0.251 -0.672 0.079 0.115 -0.11 0.141 -1.134 -0.654 -0.575 -0.351 -0.617 0.273 0.878 0.249 -0.238 -0.334 0.334 1.092 0.443 -0.257 -0.681 0.229 0.526 -0.764 -0.985 -0.003 -0.712 -0.796 -0.694 -1.782 -0.811 0.325 -0.475 -0.537 0.079 -0.207 -0.844 -0.729 -0.461 -0.639 -0.247 -0.554 -0.199 -0.409 -0.314 -1.563 -1.086
-0.075 0.975 -0.003 -0.95 -0.402 1.7 -0.142 -0.062 -0.02 0.057 -0.136 0.144 1.045 0.578 0.47 0.42 0.113 1.056 0.237 0.462 0.121 0.768 -0.078 1.296 -0.021 0.97 -0.281 -0.64 0.061 -0.252 -0.263 -0.899 -0.342 0.498 0.223 -0.589 0.166 -0.129 -0.433 0.096 -0.165 -0.303 0.316 0.32 0.201 0.33 -0.537 0.758 -0.604 0.367 -0.432 -0.669 -0.677 0.887 0.518 0.349 0.052 -0.928 -0.542
0.043 -0.229 -0.147 -0.28 0.679 -0.349 0.584 0.505 0.844 0.716 -0.096 -0.312 -0.237 -0.552 0.691 0.236 0.62 0.592 -0.418945074300983 1.254 -0.746 0.123 0.351 0.308 0.449 0.406 -0.178 0.784 0.937 0.461 0.661 -0.585 -0.117 0.89 0.339 -0.476 -0.24 -0.584 0.465 -0.626 0.261 -0.585 0.088 -0.247 -0.285 -0.513 0.613 0.559228444736469 1.28 0.734 -0.734 0.184 -0.038 0.153 -0.508 -0.484 0.029184801550688 1.744 0.781
-0.075 -0.802 0.454 -0.936 -1.316 -0.345 -0.47 -0.918 -0.405 -0.173 1.06 -1.005 0.003 -0.069 0.438 0.755 0.121 0.6 -0.866 0.123 -0.138 -0.069 -0.331 -0.163 -0.214 0.421 -0.654 -0.538 0.202 0.299 -0.232 1.252 0.027 0.155 0.103 0.672 -0.034 0.82 -0.622 0.587 -0.598 -0.799 -0.855 0.321 -0.294 0.088 -0.539 -0.221 -0.396 -0.549 0.463 0.074 -0.883 -0.917 -0.148 0.27 -0.55 -0.881 -0.885
0.072 -0.274 -0.085 -0.325 -0.021 -0.056 -0.151 -0.195 -0.187 2.836 -0.427 -0.122 -0.187 -0.185 0.087 0.029 -0.032 0.067 -0.231 0.006 -0.578 -0.041 -0.286 -0.014 0.198 -0.156 -0.174 1.517 -0.232 0.094 0.079 -0.533 -0.317 0.107 -0.027 -0.043 -0.392 -0.705 -0.187 -0.274 0.811 -0.154 -0.304 -0.38 -0.202 -0.298 0.053 -0.122 0.642 -0.124 -0.368 -0.167 -0.368 -0.207 -0.238 -0.328 -0.128 -0.22 1.961
-0.338 -0.736 0.402 -0.414 -0.205 -1.065 -0.412 -0.73 -0.596 -0.595 -1.087 0.014 -0.734 0.514 -0.548 -0.451 0.389 -0.86 -0.222 -0.565 -0.103 -0.85 -0.228 -0.208 -0.213 -0.216 0.058 -0.782 -0.427 0.101 -0.186 0.877 0.642 -0.814 -0.434 0.647 -0.305 0.79 -0.965 0.61 -0.968 -0.171 -0.711 0.084 -0.632 0.645 -0.514 -0.615 1.196 -0.507 0.962 -0.429 -0.899 -0.534 0.371 0.355 -0.626 0.234 -0.853
-0.657 -0.409 0.469 -0.377 -1.092 -0.121 -0.997 -0.496 -0.513 -0.12 -0.111 -1.094 0.578 0.32 0.081 0.54 -0.339 -0.211 -0.544 -0.072 -0.338 0.28 -0.652 -0.609 -0.954 -0.746 -0.635 -0.648 -0.31 -0.959 0.027 -0.009 0.581 0.014 -0.209 0.874 1.452 0.543 -0.722 0.723 -0.644 -0.498 -0.64 -0.498 -1.032 0.063 -0.986 -0.521 -0.98 -0.335 0.038 -0.985 0.116 -1.048 0.255 0.092 -0.676 -0.936 -0.724
0.564 0.143 0.045 -1.257 -0.021 0.288 0.144 0.301 0.035 0.041 -1.17 -0.311 0.055 0.634 0.017 0.329 0.4 0.838 -0.558 0.647 0.617 0.898 0.377 0.793 -0.103 0.271 0.578 -1.004 -0.124 0.647 -0.499 -0.101 -0.044 -0.639 -0.306 0.804 1.235 0.335 -0.329 0.9 -0.025 -0.439 0.681 -0.107 -0.205 -0.129 -0.06 0.789 -0.769 -0.135 -0.024 -0.31 0.862 1.088 -0.006 -0.911 0.741 -0.415 -0.321
0.438 -0.079 -0.137 -1.024 -0.247 0.184 -0.249 -0.269 -0.008 0.45 0.581 -0.364 0.284 -0.346 0.073 0.05 -0.599 -0.98 0.092 0.092 0.14 -0.146 -0.196 -0.388 -0.117 -0.974 -0.643 -0.07 0.319 -1.084 -0.41 2.197 0.731 0.237 0.961 -0.209 0.441 -0.5 -0.312 -0.028 -0.689 -0.365 -0.829 -0.311 0.853 -0.463 -0.498 -0.957 0.242 -0.341 0.753 -0.025 -0.074 -0.281 0.042 -0.694 -0.621 -0.051 -0.698
0.073 -0.317 1.485 0.296 -0.302 -0.091 0.293 -0.225 0.65 -0.163 -0.189 -0.421 0.261 0.148 0.977 1.086 0.757 1.149 -0.536 0.425 -0.132 0.431 -0.314 0.846 0.768 1.264 0.219 -0.029 0.722 1.223 0.93 0.356 -0.093 0.799 0.675 -0.519 0.177 0.77 -0.386 0.466 -0.195 -1.087 -0.046 0.409 -0.038 0.185 -0.03 0.313 -0.009 0.007 0.035 -0.593 -0.572 -0.51 0.13 -0.002 0.264 -0.639 -0.911
0.03 -0.454 -0.195 -0.474 -0.211 -0.01 -0.43 -0.233 -0.467 -0.499 -0.47 -0.114 0.915 -0.127 -0.205 -0.012 -0.381 -0.209 0.017 -0.318 -0.139 0.055 0.279 -0.175 -0.426 -0.253 -0.215 -0.004 -0.385 -0.508 -0.348 -0.32 -0.2 -0.365 -0.224 1.068 1.895 0.291 -0.191 -0.413 -0.159 0.41 -0.308 -0.179 -0.054 1.621 -0.232 0.209 -0.469 -0.254 1.79 -0.243 0.185 -0.188 -0.381 1.615 -0.424 -0.155 -0.027
-0.232 -0.065 0.722 -0.752 -0.819 -0.879 -0.311 -0.359 -0.788 -0.9 -0.163 -0.295 0.923 -0.525 -0.624 -0.503 -0.735 -1.279 -0.221 0.473 0.887 -0.323 -0.17 0.077 0.088 0.066 -0.733 -1.191 -0.624 -0.896 -1.009 -0.601 -0.324 -0.61 -0.498 -0.643 -0.714 1.182 -0.991 -0.251 -0.48 -1.128 0.241 0.101 0.055 0.267 -0.257 -1.069 0.806 -0.579 -1.077 -0.442 -0.297 -0.483 -0.134 -0.552 0.627065665181572 -0.983 -0.622
0.643 -0.413 0.701 0.673 -0.575 0.605 -0.26 0.043 -0.685 0.929 -0.046 -0.528 0.884 0.453 -0.042 0.159 0.002 -0.042 -0.169 1.308 0.067 0.628 0.735 -0.399 1.276 0.339 0.386 0.405 0.302 2.131 0.466 -0.239 0.131 0.244 0.136 -0.18 0.241 0.993 -0.884 1.108 0.255 0.004 0.203 -0.02 -0.368 0.085 -0.461 -0.199 0.7 -0.55 -0.805 -0.19 -0.069 0.089 0.843 0.093 0.249 0.417 0.362
-0.517 0.044 0.152 -0.445 -0.442 -0.21 0.385 -0.596 0.49 1.5 -0.665 -0.803 -0.892 -0.796 -0.194 -0.487 -0.645 0.371 -0.838 0.312 -0.604 -0.277 0.248 0.167 0.577 0.193 -0.541 0.338 0.478 -0.409 0.151 -0.67 -0.76 0.135 0.408 -0.682 -0.649 -0.684 -0.526 -0.776 -0.858 -0.872 -0.548 0.743 0.237 -0.468 1.288 0.345 -0.834 -0.093 -0.977 -0.588 -0.312 0.671 0.168 -0.494 -0.503 -0.43 -0.482
-0.208 -0.269 2.188 -0.193 0.073 -0.439 0.096 -0.367 0.102 0.222 -0.481 0.812 -0.665 -0.169 -0.172 -0.214 -0.277 -0.387 0.108 0.031 -0.002 -0.363 -0.125 -0.237 0.243 -0.095 -0.488 -0.353 0.448 0.828 0.556 2.033 0.047 0.002 0.142 -0.026 -0.322 0.588 -0.517 0.399 -0.369 -0.299 -0.368 -0.003 -0.148 0.125 0.129 1.491 0.221 -0.362 -0.503 0.136 -0.267 0.08 -0.193 0.798 0.052 -0.779 -0.363
-0.081 1.524 0.737 0.559 0.73 -0.291 1.658 1.018 0.598 0.919 0.83 1.421 -0.721 0.191 0.351 0.616 0.532 0.338 0.145 -0.558 0.052 0.267 0.434 0.72 1.771 1.483 0.213 0.03 1.447 0.695 -0.043 1.17 0.229 0.337 0.378 0.592 0.836 1.456 0.69 0.051 0.526 0.934 -0.176 0.041 0.552 0.735 0.595 0.471 1.13 0.493 0.101 -0.048 -0.292 -0.477 -0.225 0.601 1.021 0.758 0.13
-0.294 -0.714 0.56 -0.45 0.274 -0.545 0.078 -0.52 0.247 -0.105 -0.276 -0.624 -1.206 0.314 0.23 0.745 0.755 0.978 -0.018 0.665 -0.233 0.0374805336308308 -0.205 0.558 -0.088 0.544916401964839 -0.335 -0.133 0.825 1.442 0.221 0.252 0.403 0.246 0.0342923380519061 -0.115 0.738 -0.023 0.009 1.949 0.017 -0.651 0.0294449792021887 0.78 -0.618 0.142 0.475 0.878 -1.081 -0.025 -0.281 0.004 0.413 0.587 0.013 0.324 -0.044 -0.23 -0.26
-0.031 1.268 0.82 0.16 -0.639 0.233 -0.089 -0.394 0.075 -0.043 -0.891 -1.013 -0.844 -0.06 0.812 0.048 -0.109 0.743 -1.288 0.297 -0.862 0.004 0.012 -0.256 -0.374 0.345 -0.056 0.359 0.212 1.064 -0.155 -0.565 -0.307 0.44 -0.082 -0.631 -0.528 -0.315 0.445 0.474 0.748 -1.311 -0.396 0.049 -0.746 -0.475 -0.37 0.742 0.399 -0.385 -1.02 0.491 0.033 0.188 -0.462 -0.506 -0.107 -0.019 0.267
0.079 0.878 -0.182 -0.371 0.82 -0.507 -0.376 -0.451 0.656 1.078 -0.723 -0.663 -0.442 -0.471 -0.319 -0.203 -0.171187598157518 1.116 -0.732 1.137 0.818 -0.332 -0.38 -0.531 0.022 -0.231 -0.332 -0.188 -0.394 1.759 -0.346 -0.681 0.064 0.098 -0.26 -0.629 -0.681 -0.599 -0.338 -0.166 -0.742 -0.748 -0.586 -0.539 -0.526 -0.698 -0.415 -0.066 -0.264 -0.355 -0.742 -0.485 -0.285 -0.306 -0.632 -0.66 -0.145 0.669 -0.463
0.106 -0.571 0.522 0.155 -0.798 -1.352 0.387 -0.473 0.49 0.318 -0.358 -0.736 -0.497 0.225 0.218 0.835 -0.501 -0.314 -0.887 0.041 -0.702 0.000115 -0.387 0.223 1.218 0.59 -0.051 -0.421 -0.349 0.931 0.932 0.622 -0.289 0.084 0.287 -0.87 -0.451 0.403 -0.979 -0.245 -0.843 -1.308 -0.649 0.113 -0.195 -0.274 -0.013 -0.416 0.121 -0.552 -0.718 -0.808 -0.572 -0.562 -0.015 -0.122 -0.101 -0.883 -0.657
-0.377 0.73 1.618 0.209 -0.412 -0.184 0.337 -0.446 0.14 0.45 -0.684 -0.743 -0.841 -0.111 0.509 0.456 -0.065 1.152 -0.671 0.048 -0.399 -0.1 -0.702 0.068 0.606 0.646 -0.285 -0.062 0.197 1.504 0.576 0.937 0.468 0.599 -0.018 0.214 0.339 0.262 -0.043 0.828 -0.141 -0.831 0.146 0.754 -0.21 0.104 0.246 0.031 0.261 -0.391 -0.719 -0.036 0.654 -0.021 0.011 1.18 0.659 0.074 -0.606
-0.346 -0.69 0.437708369665067 -1.391 -0.612 0.228 -0.551 -0.512 -0.969 -0.541 1.195 0.094 -0.928 -0.685 -1.001 -0.495 -0.992 -1.592 0.288 -0.263 0.15 -0.765 -0.468 -0.465 -0.621 -0.517 -0.26 -0.591 -1.257 -0.904 -0.754 -0.697 -0.038 -1.067 -1.152 -0.643 -0.918 0.536 -1.178 0.817 -0.126 -0.131 0.464 -0.347 -0.648 -0.345 -0.157 -1.044 -0.479 -0.771 -1.633 -0.881 -0.172 -0.581 -0.322 -0.774 0.216 -0.826 -0.121
-0.084 -0.403 1.46 0.169 -0.279 -0.708 0.713 -0.152 0.544 0.698 -0.605 -0.714 -0.363 0.02 0.648 0.436 0.177 0.74 -0.232 0.243 -0.403 0.028 -0.063 0.786 0.853 0.771 0.203 -0.403 0.453 1.694 1.208 -0.131 0.257 0.072 0.574813973788308 0.133 0.125 0.815 0.46 -0.14 -0.452 -0.77 0.23 0.41 -0.492 -0.044 0.408 0.166 -0.868 0.164 -0.29 -0.233 -0.496 -0.439 0.28 -0.026 0.057 -0.698 -0.851
-0.226 -0.653 -0.638 -0.902 -1.046 -0.462 -1.08 -0.613 -0.02 -0.67 -0.444 -1.23 0.093 -0.639 -0.199 0.501 -0.354 -0.454 -1.427 -0.689 -1.238 -0.243 -0.604 -0.48 -1.022 0.332 -0.152 -1.495 -1.202 -0.536 -0.387 -0.963 -0.334 -0.552 -0.287 0.11 -1.186 -0.553 -1.366 -1.218 -1.38 0.813 -1.236 -0.884 -1.043 -0.007 -1.102 -0.846 -1.29 -0.193 0.092 -1.22 0.211 -0.951 -0.965 0.619 -0.554 -1.406 -1.379
-0.095 0.853 0.215 -0.198 -0.0814127980800115 -0.385 0.054 -0.34 0.263 0.126 -0.489 -2.576 -0.132 -0.236 -0.079 0.306 0.079 1.131 -1.05 0.161 -0.53 -0.439 -0.269 -0.239 -0.13 0.103 -0.521 -0.06 0.322 0.213 0.163 -0.137 0.559 0.303 0.181 -0.235 0.036 -0.874 0.326 -1.281 -0.22 -0.556500416385973 -0.006 0.111 -0.345 -0.198 0.322 0.917 -0.856 -0.165 -1.382 0.328 -0.322 -0.177 -0.345 0.116 -0.129769251295442 -0.221 -0.211
-0.01 -0.187 -0.344 -0.603 -0.239 0.206 0.293 0.284 -0.094 0.024 -0.738 0.154 -0.239 0.13 0.305 -0.001 0.355 0.27 -0.417 -0.016 0.124 -0.209 1.132 0.944 0.787 0.647 0.245 0.26 0.4 -0.759 -0.355 -0.865 -0.55 0.168 0.07 0.202 1.729 0.662 -0.456 -0.326 -0.561 -0.153 0.728 0.311 0.123 2.039 -0.141 -0.262 -0.465 0.212 0.188 -0.365 -0.609 -0.485 -0.072 1.076 -0.021 -0.033 -0.231
-0.289 -0.412 0.278 0.381 -0.339 -0.601 -0.096 -0.223 -0.51 -0.11 0.51 0.336 -0.579 -0.608 -0.458 -0.203 -0.046 0.486 -0.666 -0.336 -0.222 -0.829 -0.619 -0.327 -0.355 -0.439 -0.344 -0.185 -0.657 0.736 -0.657 0.834 -0.002 -0.739 -0.471 -0.466 -0.003 -0.413 -0.401 1.948 0.198 -0.632 -0.469 0.712 0.276 -0.462 0.21 -0.609 1.69 -0.379 -0.258 -0.032 0.908 -0.491 0.022 -0.467 -0.342 0.507 -0.326
0.034 1.837 1.128 -0.287 -0.295 0.326 -0.333 -0.33 -0.233 -0.06 1.135 -0.628 0.379 0.734 0.716 1.114 0.505 1.368 -0.317 0.727 -0.027 0.609 -0.037 -0.126 -0.46 0.571 -0.247 0.12 0.283 -0.82 0.089 0.83 0.859 0.089 -0.069 0.688 0.294 0.603 0.092 1.762 0.051 -0.126 0.126 0.239 -0.135 0.377 -0.693 0.388 0.519 -0.177 -0.073 -0.242 0.317 -0.108 0.448 0.801 0.305 0.262 -0.285
0.361 0.548 0.567 -0.483 -0.618 0.393 -0.19 -0.31 -0.269 0.068 0.564 -0.234 0.413 0.902 0.656 0.795 0.268 1.047 -0.726 0.756 1.363 0.552 -0.085 -0.016 -0.367 0.678 0.023 -0.357 0.015 -0.495 -0.012 0.844 0.601 0.318 0.087 0.545 -0.106 0.819 -0.704 1.737 0.015 -0.481 0.095 0.452 -0.715 -0.042 -0.738 -0.036 -0.232 -0.016 0.18 0.173 -0.49 -0.339 1.172 0.368 0.024 0.095 -0.812
0.336 -0.003 -0.087 -0.637 -0.161 0.558 -0.165 0.289 0.501 0.34 -0.264 0.303 0.66167934373561 0.594 1.515 1.757 0.457752208368774 0.718 -0.775 0.663 0.266 0.278 0.545 0.421 0.006 0.389 0.418 0.007 0.319 -0.469 0.097 -0.224 -0.447 0.882 0.424 -0.176 -0.255 -0.27 -0.259 -0.203 0.285 -1.773 0.556126497848724 0.178 0.269 -0.062 -0.241 -0.114 -0.763 0.635 -0.915 -0.098 0.022 -0.236 0.543 -0.571 0.327 -0.403 -0.044
-0.241 -0.473 -0.091 -0.731 0.718 -0.063 -0.283 -0.499 -0.646 -0.482 -1.023 -0.379 0.206 -0.103 -0.059 0.085 -0.56 1.023 1.446 -0.302 -0.826 -0.095 0.494 -0.056 -0.454 -0.344 -0.644 0.07 -0.413 -0.172 -0.516 0.183 -0.123 -0.768 0.079 1.79 0.539 -0.129 -0.366 -0.68 0.276 -0.239 -0.522 -0.644 -0.362 0.719 -0.361 0.509 0.623 -0.229 -0.32 -0.03 -0.574 -0.099 -0.224 0.728 -0.471 0.983 0.011
-0.293 -0.311 -0.27 0.103 -0.635 -0.817 0.483 -0.968 -0.002 -0.551 -1.419 -0.221 -0.624 -0.058 0.235 -0.211 -0.262 -0.588 0.455 0.139 -0.803 -0.273 0.202 -0.137 0.188 -0.33 -0.145 -0.086 -0.209 1.253 0.428 -0.8 -1.144 -0.287 -0.185 1.535 0.019 -0.157 0.22 -0.118 -0.674 -0.431 -0.797 -0.777 -0.881 -0.393 -0.992 -0.227 0.607 -0.487 -0.619 -1.544 -0.655 -0.541 -0.681 -0.881 -0.186 0.132 -0.911
0.605 0.124 1.454 0.307 -0.37 0.343 0.531 0.024 0.667 0.854 -0.26 -0.159 0.77 0.963 1.289 1.732 0.895 1.389 -0.038 1.088 0.296 0.956 0.497 0.842 0.831 1.166 0.314 0.328 0.954 1.251 1.309 0.228 0.242 1.003 1.273 0.861 0.86 1.585 -0.316 1.195 0.376 -0.247 0.34 0.959 0.23 0.68 0.345 0.842 -0.031 0.121 0.718 0.139 -0.57 0.024 0.848 1.061 0.486 -0.559 -0.201
-0.056 0.015 0.102 -0.374 0.424 -0.0910902261918554 -0.226 -0.099 0.033 -0.076 0.043 0.557 0.066946899643374 -0.002 -0.022 0.174 -0.0281367575465057 0.18 -0.0416945523841904 0.004 0.214 -0.129 0.005 0.474 0.004 -0.002 0.212 0.368 0.055 -0.0117093344674508 0.274 0.232 0.118 -0.027 0.0661489437512038 0.085 0.015 -0.028 0.014 -0.253 -0.029 0.097 0.147 -0.177 -0.037 -4.012 0.271 0.0914968235310145 -0.035 0.232 0.13 -0.26 0.081 0.266 0.134 -0.236 0.074 -0.045 0.238
-0.959 -0.745 0.864 -0.91 -0.959 -0.95 0.103 -1.194 -0.67 -0.822 -0.439 -0.846 -0.924 0.448 -0.379 -0.392 -0.567 0.085 0.058 -0.866 -0.659 -0.704 -0.6 -0.117 -0.108 0.03 -0.97 -0.972 -0.726 -0.119 -0.373 -0.178 -0.145 -0.569 -0.57 0.874 0.153 0.409 -0.599 0.716 -1.053 -0.507 -0.928 -0.345 -1.12 0.234 -0.445 -0.655 -0.12 -0.838 0.242 -1.323 -1.616 -0.925 -0.546 -0.034 -0.239 -1.006 -1.624
-0.166 -0.086 0.989 -0.483 1.524 0.01 -0.189 -0.437 -0.363 -0.452 -0.896 -0.485 -0.177 -0.202 1.048 0.043 0.35 2.235 -0.755 0.131 -0.573 0.101 -0.395 0.071 -0.275 0.307 -0.165 -0.411 -0.596 0.29 -0.103 -0.174 -0.104 -0.308 -0.18 -0.106 -0.755 0.175 0.264 0.154 0.501 -0.857 -0.086 -0.189 -0.724 -0.078 -0.309 0.417 -0.649 -0.225 -0.83 0.121 -0.238 0.224 0.117 -0.822 0.238 -0.604 0.008
-0.016 -0.34 0.493 -0.657 -0.588 0.309 -0.344 -0.405 -0.739 -0.206 -0.666 -0.053 0.787 0.043 0.579 0.713 -0.356 1.129 -0.792 0.226 0.375 -0.125 -0.252 0.506 -0.359 0.622 -0.531 -0.287 0.379 -0.766 -0.309 -1.342 1.736 0.33 0.04 -0.298 -0.328 -0.578 -0.151 -0.321 -0.218 -0.574 0.25 0.072 0.67 -0.184 -0.065 0.016 -0.835 -0.131 -0.796 -0.466 -0.121 -1.05 0.166 -0.884 -0.439 -0.661 -0.522
-0.689 -0.202 0.354 0.976 -0.086 -1.008 0.425 -0.141 -0.166 -0.282 -0.341 -0.597 -1.607 -0.934 -0.403 -0.12 -0.011 -0.433 -1.2 -1.074 -0.853 -0.685 -0.652 -0.514 0.327 -0.246 -0.058 -0.368 0.148 1.383 0.492 0.534 -0.4 -0.303 -0.478 -0.428 -1.209 -0.769 -0.259 0.764 -0.037 -0.931 -0.797 -0.078 -0.215 -0.569 0.396 0.315 -0.533 -0.266 -1.107 0.329 -0.288 -0.05 -0.709 -0.3 -0.023 0.018 -0.216
-0.174 0.338 0.376 -0.565 -0.617 -0.593 -0.234 -0.768 -0.704 -0.673 0.46 -0.217 -0.621 0.098 -0.386 0.128 -0.22 1.406 -0.28 -0.819 0.01 -0.672 -0.614 -0.482 -0.4 -0.488 -0.825 -0.806 -0.623 0.056 -0.551 0.676 0.903 -0.726 -0.584 0.586 -0.062 0.707 -0.728 1.055 -1.192 -0.152 -0.983 -0.729 -0.995 0.253 -0.476 0.187 0.121 -0.734 -0.19 -0.752 -0.873 -0.431 -0.467 0.15 0.123 -0.262 -0.969
-0.252 -0.004 0.65 -0.482 -0.401 0.196 -0.249 -0.39 -0.178 -0.084 0.019 -0.327 1.034 0.765 0.345 0.897 -0.059 0.106 0.12 0.322 -0.133 0.393 -0.192 -0.086 -0.373 0.153 0.02 -0.646 -0.165 -0.587 0.365 0.404 -0.061 0.477 0.105 0.399 1.755 0.387 -0.411 0.915 -0.047 0.186 -0.031 0.135 -0.241 0.562 -0.877 -0.105 -0.339 0.133 1.99 -0.446 -0.866 -0.401 0.504 0.966 0.138 0.324 -0.779
