"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103"
106.43 127.34 179.44 137.66 79.69 143.63 86.94 134 138.83 141.04 117.11 86.06 157.87 138.62 84.8 41.11 104.52 120.88 175.79 56.33 81.43 104.77 136.95 91.03 138.59 75.74 35.48 55.38 76.67 45.09 48.86 64.53 25.13 54.08 24.53 61.06 45.91 62.14 53.41 37.99 28 47.52 41.95 53.98 160.65 48.33 53.64 46.37 51.08 52.63 42.23 45.91 63.63 67.59 15.49 47.4 50.34 10.7 -12.61 59.3 70.21 48.09 40.97 45.24 24.78 37.52 0.99 28.73 14.14 42.09 42.53 113.65 57.62 38.55 58.9 71.07 16.88 -4.02 -19.56 69.02 47.32 113.24 64.78 22.58 72.56 45.75 67.63 32.85 83.79 88.98 58.85 -4.08 22.5 68.5 70.51 115.17 69.09 37.32 47.67 53.69 69.21 51.93 70.27
135.46 174.44 243.88 251.83 243.05 435.29 238.27 216.13 249.46 433.21 278.78 328.97 226.1 109.1 111.11 103.8 150.5 348.62 282.66 193.29 298.92 287.3 149.89 287.18 245.35 207.03 168.79 205.43 182.46 118.5 215.58 113.93 211.54 143.59 100.08 82.38 98.67 262.99 166.38 139.95 165 134.81 146.81 124.65 115.29 245.42 159.05 155.74 130.11 151.18 145.23 98.67 113.69 176.53 64.02 209.36 135.93 93.42 128.04 165.19 204.7 168.32 73.36 141.63 195.12 124.41 132.53 85.2 83.83 58.28 223.56 351.91 228.45 147.11 104.13 46.39 114.19 89.36 52.5 299.77 86.59 91 131.43 74.93 82.5 41.94 152.16 117.45 113.49 84.74 84.08 92.82 133.05 127.21 183.12 135.37 116.07 209.21 58.16 119.09 165.34 196.17 116.19
536.45 159.61 1288.8 562.36 529.94 658.96 279.06 261.52 521.7 669.4 351.32 574.07 351.38 720.07 140.35 494.35 488.09 689.68 259.68 120.39 561.42 558.39 124.01 769.44 312.08 208.04 4261.9 9189.77 3046.48 2767.45 4643.13 6574.82 2458.92 4040.9 740.79 2577.04 7264.2 664.67 6867.87 516.83 1782 5164.39 6028.11 2548.95 9269.63 462.41 7188.15 3201.45 8222.23 3680.01 6175.87 7264.2 527.79 344.99 2683.55 1311.47 768.25 259.81 439.42 264.72 347.11 101.19 334.41 125.89 256.03 335.72 346.15 445.81 178.76 983.18 1933.5 471.54 363.91 447.41 245.08 31.59 166.82 240.96 1510 241.05 4808.73 432.74 744.45 1052.17 2645.95 2922.13 1327.2 1356.65 1401.08 760.57 3520.97 537.55 989.04 1799.54 1297.53 1150.64 1187.37 1368.19 1448.16 1442.72 832.47 1413.55 648.39
683.73 812 337.07 224.09 152.41 497.79 291.94 255.03 1155.11 244.03 973.13 202.61 311.66 604.55 957.11 267.22 230.98 174.85 509.38 313.69 150 228.97 353.69 161.47 376.75 722.09 195.64 331.3 336.77 294.68 194.5 375.07 519.43 139.86 421.91 174.45 114.3 208.95 383.09 203.93 660 203.67 136.82 228.69 169.16 532.53 207.98 136.49 162.88 144.48 114.33 114.3 287.88 137.19 85.7 122.46 181.24 471.95 242.51 596.16 367.87 367.7 3098.28 1868.71 3756.76 333.74 1393.5 1319.61 1403.84 200.74 214.83 78.76 660.08 404.8 2184.66 1630.65 2639.29 2651.57 1161.07 1740.93 333.27 592.49 791.39 465.01 259.43 238.27 1187.72 1043.12 453.95 779.64 548.37 171.36 182.94 437.41 225.23 249.52 794.96 382.07 1493.92 327.98 145.15 473.11 1080.34
407.45 4428.93 1191.65 1036.15 584.72 4647.82 1688.32 871 635.58 3070.52 471.54 846.4 225.09 1025.55 303.12 1154.17 649.04 2008.6 479.42 555.58 785.34 805.72 903.63 721.75 1083.03 737.24 901.48 8041.81 8125.25 6617.14 6242.26 6248.15 5107.38 5395.64 3603.87 4948.62 3840.18 857.4 6229.05 3029.98 6997 2589.47 7557.11 4751.43 5010.46 3103.28 3697.59 3260.95 1890.02 4851.18 4451.65 3840.18 3069.72 1694.7 453.28 1842.78 951.5 345.44 466.58 1886.95 841.56 210.4 2673.36 2256.23 576.06 446.31 1157.13 2330.12 545.38 1143.99 719.75 559.27 2501.85 3498.08 1363.18 805.45 317.75 608.42 232.63 770.54 6939.24 1109.15 1451.35 2801.33 1854.75 2617.14 517.78 1977.74 2040.64 764.81 1918.83 844.58 3931.7 3128.4 599.31 373.78 650.34 1579.36 667.36 1041.53 2909.81 1911.65 475.05
240.81 214.56 435.22 276.38 252.02 300.43 207.15 439.82 199.57 344.78 108.82 173.2 195.55 240.02 323.59 198.36 316.68 556.92 276.66 269.5 316.06 322.94 197.33 276.35 214.55 267.63 187.01 197.37 251.37 171.98 193.54 196.61 223.06 216.31 230.58 173.48 224.69 314.32 183.84 182.94 130 215.3 240.69 161.95 154.04 220.78 170.34 190.74 235.17 281.31 244.11 224.69 270.15 218.9 244.71 170.85 265.82 181.97 189.15 366.38 132.51 319.61 183.88 272.44 323.13 166.87 298.68 159.5 300.97 359.38 239.92 236.27 349.75 283.05 224.04 226.04 188.66 348.39 290.27 232.81 307.09 378.14 245.02 359.28 325.03 426.02 379.35 338.42 444.4 130.29 401.7 299.89 324.79 365.98 302.59 413.18 432.02 334.93 294.59 628.63 464.3 246.17 266.1
-2.15 -11.34 0.99 -13.87 -8.97 46.05 -15.03 -15.13 16.27 7.84 0 1.09 14.26 -60.33 38.01 37 10.45 -7.56 38.95 -5.52 0 5.4 6.47 -9.75 9.24 16.16 451.7 1112.72 551.26 327.19 448.41 1174.62 401.09 397.19 119.7 250.05 1144.92 1089.77 127.35 146.95 97 948.5 703.08 381.8 1345.7 207.52 719 486.47 679.48 162.66 543.84 1144.92 -28.16 75.66 39.24 19.75 55.38 -5.84 -30.07 3.18 40.55 25.05 -4.76 16.72 5.16 -16.79 -2.97 9.91 -1.01 34.54 66.52 79.75 48.52 63.92 1.05 -8.88 37.73 -6.02 25.73 29.87 10.07 -2.02 -12.2 21.56 6.96 66.72 2.11 19.91 4.24 -20.13 10.28 -3.06 -20.54 6.85 53.86 55.56 -3.68 26.52 11.44 37.09 18.26 55.77 12.18
104.28 148.27 298.41 501.54 155.4 202.84 197.49 169.66 197.4 119.78 166.85 287.58 225.09 336.29 145.22 145.94 268.6 168.37 149.82 58.54 275.35 478.47 412.99 796.53 235.08 88.87 121.8 87.61 97.05 162.54 271.15 144.18 124.62 109.09 105.97 114.36 203.19 417.89 344.06 86.97 181 121.23 175.77 95.21 96.39 235 431.03 111.99 178.3 115.78 89.61 203.19 342.12 477.14 304.6 132.33 80.55 251.06 158.11 201.19 349.09 257.49 883.18 548.81 1243.99 231.05 906.91 538.94 1329.1 230.96 164.67 166.48 106.14 187.69 1588.27 1676.06 2569.78 1421.66 1507.95 403.81 152.03 164.81 140.82 92.39 134.19 91.5 294.82 83.61 307.58 119.7 93.42 176.46 180.98 118.4 189.98 304.08 63.56 154.2 104.87 197.18 83.63 159.63 109.63
284.89 151.76 128.88 216.62 183.29 174.33 348.83 554.37 211.5 180.22 48.71 274.51 158.88 168.14 555.55 308.33 247.7 99.3 150.82 62.96 304.28 118.81 187.63 161.47 576.93 135.33 109.33 208.45 172.75 92.28 216.54 209.72 201.07 150.11 261.97 131.81 153.37 13.51 148.92 199.93 260 257.98 128.83 183.54 241.92 129.82 191.99 148.74 167.7 332.98 204.97 153.37 742.66 789.85 725.87 1063.6 264.81 1115.15 454.94 1023.95 854.42 583.11 151.48 270.47 371.65 131.32 660.65 175.35 217.14 729.56 412.22 490.48 803.63 613.79 355.52 475.77 327.68 158.63 145.13 611.9 199.36 469.14 529.47 228.91 456.23 412.68 153.22 484.73 107.12 716.08 209.26 247.87 291.53 352.28 295.74 462.68 234.9 208.22 384.21 266.48 71.14 252.9 372.92
557.95 307.01 536.34 358.54 42.83 554.8 223.25 402 286.34 303.36 265.31 441.17 365.64 427.42 287.52 156.22 290.55 224.5 332.6 124.81 232.49 195.49 268.5 231.91 261.77 156.54 337.58 222.54 273.69 178.27 205.04 211.73 149.76 267.59 191.33 143.44 132.86 114.38 121.19 190.94 122 310.35 163.79 358.25 133.25 284.27 117.64 262.49 272.76 250.69 145.23 132.86 319.18 205.78 107.38 159.98 197.35 272.46 283.25 157.78 257.12 133.25 232.47 322.6 219.89 230.07 352.08 205.07 128.26 198.58 275.9 229.29 196.1 173.48 214.57 174.71 165.82 98.39 156.46 218.39 687.68 189.07 179.31 312.06 761.38 171.55 768.21 248.84 421.07 564.6 600.68 404.95 570.34 373.8 370.16 660.68 255.16 313.32 262.18 445.11 288.39 429.83 416.96
51.6 -76.75 155.65 -3.2 56.78 81.14 -2.15 -81.05 47.72 48.13 22.8 -25.05 215.92 -59.04 178.36 -6.17 59.57 -36.7 215.74 14.36 37.5 -1.08 144.49 -8.67 273.07 36.36 70.01 107.75 -8.73 10.49 73.78 81.67 28.28 94.17 82.42 118.24 148.49 118.88 85.25 43.99 82 84.38 112.85 113.85 65.21 58.75 69.64 158.37 124.33 116.73 96.82 148.49 181.49 281.44 139.39 455.26 459.14 38.92 142.59 329.32 41.53 149.28 145.77 148.51 203.37 121.45 134.5 59.44 118.16 64.75 412.22 192.4 184.99 187.69 322.91 197.42 136.04 365.46 183.22 218.39 195.33 -8.09 126.73 93.41 234.58 388.85 143.71 270.73 172.88 23.3 72.87 87.72 146.74 5.87 113.59 -37.38 101.33 78.58 206.88 81.99 180.72 123.08 109.63
131.16 601.8 76.34 43.75 108.58 -287.27 -53.67 138.32 797.19 135.45 591.76 228.76 -120.18 -209.22 309.94 -159.3 -403.43 -38.86 213.74 -1.1 110.35 -45.36 94.89 -23.84 61.59 2094.56 0.96 146.01 138.79 45.09 2.87 132.08 124.62 -1.86 17.66 17.45 147.51 39.63 -14.38 87.97 79 -31.03 129.83 153.11 133.25 -34.11 27.29 146.12 14.46 -182.76 -133.9 147.51 547.61 -120.04 -68.15 350.58 -93.64 -200.46 -444.27 533.68 379.74 306.58 20750.44 10702.81 12927.2 127.38 7891.23 15578.73 -110.09 -105.76 275.9 -66.79 -102.1 335.81 8086.49 9046.56 862.88 11416.49 1115.78 2327.07 144.99 -79.88 -39.43 -29.77 -217.68 -193.47 -134.2 -209.02 -108.18 -184.32 -229.81 -154.02 -315.01 -88.07 -177.25 -200.02 46.98 -5.89 -116.31 -18.55 -205.72 5.77 107.75
-144.06 -93.32 61.47 -89.64 638.51 -112.93 -130.94 60.52 -19.52 -75 -63.22 -71.89 3.06 -395.33 -65.3 -9.25 111.83 9.71 36.96 131.44 -68.57 -96.13 -4.31 -52.02 12.32 -106.04 516.91 273.9 324.16 216.03 525.06 146.2 372.82 468.98 549.46 285.91 390.76 1006.91 617.26 316.89 260 161.96 734.04 380.82 352.49 685.09 687.95 245.86 208.18 229.64 252.35 390.76 -183.58 72.63 -24.78 14.81 22.15 -7.78 -111.55 6.35 -82.08 -28.05 12.39 -28.52 -57.81 -11.85 -45.49 16.84 55.55 18.35 -122.14 63.8 17.18 -55.8 -96.77 -76.99 -35.75 33.13 -101.9 -27.81 -40.27 15.17 -17.84 -11.29 11.93 -3.81 24.3 -25.88 -19.09 27.54 39.24 34.68 -7.83 7.83 -1.96 -10.1 36.85 14.73 -49.57 24.4 55.75 -5.77 33.73
5968.7 2040.9 1485.1 2048.83 3272.26 2224.68 4238.5 1863.04 3462.09 2857.83 6114.46 2126.34 5828.79 1099.99 4119.87 4155.22 2459.24 3407.39 2952.42 2943.56 2439.59 2232.48 6071.97 1679.76 4150.41 3809.39 1992.85 1868.97 1625.63 1848.81 2955.85 2025.58 2020.12 980.86 2256.71 1099.05 1845.36 3043.24 2003.77 2218.25 1917 1645.82 1718.75 2552.87 1741.66 1827.85 1418.24 1735.03 2511.68 2532.76 1695.38 1845.36 3822.81 2808.35 8301.55 5712.02 4678.96 5819.03 2315.44 7611.33 1633.68 6441.22 10121.8 10446.11 6217.9 3601.07 3433.81 8987.62 4918.49 3073.66 7156.01 5639.52 3536.96 6468.61 7820.38 3780.5 4454.43 9270.94 3950.51 2711.31 6167.99 6149.37 3536.37 3928.43 7189.38 3080.34 4539.53 3920.65 3005.8 3386.54 6459.93 2646.96 3857.35 6043.49 3221.78 3708.52 5841.07 2814.96 5517.13 5645.92 6083.01 5061.84 2907.46
479.47 525.05 326.17 454.58 176.31 694.05 368.15 260.44 417.58 314.55 233.18 349.67 271.94 664.87 273.88 190.13 180.81 323.79 407.51 240.79 230.35 271.09 257.72 303.44 263.83 288.83 112.21 135.94 237.78 179.32 119.77 158.3 191.64 195.8 103.02 186.08 125.04 309.82 129.41 123.96 103 263.8 102.87 171.76 141.75 253 174.1 190.74 246.73 198.07 132.87 125.04 297.27 178.55 113.58 119.49 196.34 207.27 349.21 164.13 175.04 167.32 122.9 170.15 244.67 282.4 316.48 138.7 161.59 196.42 210.47 194.4 165.78 179.57 152.52 132.27 194.62 145.58 218.21 190.57 278.9 295.23 275.06 378.78 223.64 342.15 251.49 132.38 388.19 312.49 188.71 282.55 315.01 155.59 140.03 200.02 270.82 127.68 195.44 170.82 177.84 175.01 234.25
205.34 320.09 247.85 268.91 244.05 186.4 366 272.32 261.39 326.86 182.4 302.83 157.87 65.46 55.56 126.41 165.13 251.48 109.87 199.92 177.85 149.05 202.72 229.75 106.76 147.45 105.49 53.37 106.76 74.46 90.06 120.99 73.31 140.79 112.84 63 75.22 82.86 73.95 37.99 65 145.48 52.93 30.43 63.32 126.97 131.75 63.87 39.52 64.11 52.53 75.22 71.97 160.39 68.15 96.78 50.34 203.37 -6.79 158.83 122.62 124.24 158.15 155.4 171.37 148.11 125.6 100.06 125.23 124.11 105.78 -30.9 21.23 -64.93 183.02 85.88 50.64 182.73 35 46.36 119.82 160.76 164.29 150.9 137.17 193.47 159.56 178.17 168.64 135.59 208.32 54.06 217.18 132.1 97.93 165.68 128.04 174.83 143.96 94.68 86.52 121.16 104.94
620.31 828.57 329.14 3801 737.13 887.02 994.96 155.61 1003.27 1158.58 1172.11 955.33 1644.85 491.6 607.21 1025.7 389.84 289.26 122.85 404.26 1295.33 1128.66 2557.76 225.41 1428.98 482.74 23.98 51.36 51.44 96.48 104.44 142.16 97.39 83.91 25.51 29.08 57.64 44.13 42.11 46.98 22 63.04 69.91 77.54 119.07 53.06 205.16 9.62 96.38 295.66 103 57.64 210.7 5670.17 6547.28 1306.54 750.12 6922.51 2309.62 4579.72 694.22 1052 1132.8 499.63 3050.62 151.07 4626.54 3180.14 2835.96 498.61 5941.17 699.83 2147.04 1229.6 858.3 7883.78 2581.7 579.31 9171.19 915.79 52.36 2133.37 205.59 2311.68 94.43 639.51 351.88 767.41 64.7 91.1 1604.01 4365.7 1833.29 1193.82 5638.6 490.97 928.53 606.99 132.52 30.26 468.15 1894.35 731.78
-962.17 546.86 -1058.8 -380.95 -189.26 438.58 -412.15 -520.87 -558.58 -123.13 106.74 -287.58 -88.61 -2968.83 -399.61 191.16 -460.91 -464.1 -403.51 -414.2 -265.71 -64.8 -632.97 -162.56 -396.25 -117.15 185.09 7207.01 4675.02 4839.64 4528.15 3989.66 2357.33 2530.46 2465.7 3062.6 2099.35 -199.94 4667.93 1284.57 6049 583.84 5571.71 3493.15 3225.33 905.87 1702.46 1735.03 440.46 2472.48 2485.39 2099.35 599.76 -43.38 161.07 135.3 258.77 -541.03 -882.72 9.53 -414.35 -247.47 530.67 523.24 209.57 -507.53 -94.94 401.23 -204.01 -26.98 -245.37 -229.29 866.3 797.42 110.44 -86.86 -50.64 -386.54 -773.02 -54.6 1574.72 -383.2 -107.96 -347.98 240.54 -223.02 -657.26 92.57 -610.92 -1289.15 -140.13 -244.81 1159.26 931.57 -272.24 -311.15 -308.59 122.77 59.11 217.68 1059.34 515.42 -148.98
15.05 59.31 -13.88 76.83 13.95 -6.58 62.25 48.63 81.35 53.73 51.82 21.79 70.28 -68.03 22.42 57.55 44.94 53.97 1 38.66 48.21 10.8 17.25 58.52 13.35 57.56 11911.07 11165.49 11648.26 8770.07 10410.15 10609.85 8656.47 13018.72 9845.14 13418.25 6161.28 3165.73 6776.46 6688.75 10632 10209.49 8696.62 11466.83 12688.69 7940.6 11946.36 14113 10512.24 6105.6 10240.25 6161.28 64.67 22.19 64.02 86.9 47.32 -56.44 -50.44 -1.06 45.49 7.01 22.87 15.74 34.07 2.96 -42.53 52.51 31.31 61.52 112.32 64.8 72.78 120.73 67.32 98.71 -39.72 38.15 185.28 10.3 109.75 128.41 -14.08 156.03 83.49 86.73 96.16 35.83 193.03 -29.66 -24.29 75.48 82.18 54.8 84.22 24.25 88.43 56.97 33.37 -15.62 -36.53 35.58 70.27
485.92 403.82 233.97 390.56 214.17 487.92 515.19 320.95 488.08 400.75 344.07 181.92 635.54 332.44 364.52 517.99 450.46 61.52 234.72 309.27 152.14 247.33 372.02 513.68 589.25 381.75 222.49 244.7 241.66 234.9 244.32 223.83 319.41 289.97 202.12 362.47 191.47 286.4 244.44 349.88 298 290.95 208.73 222.8 185.22 433.04 297.39 424.35 312.27 245.91 198.79 191.47 628.96 963.35 544.14 387.12 638.36 651.97 617.9 573.92 746.63 332.63 907 976.65 1017.91 237.96 257.14 1099.68 264.61 225.56 444.93 1119.53 418.49 577.26 583.77 1451 747.7 732.92 1011.82 449.14 460.13 578.34 216.86 325.4 711.68 446.99 296.93 220.97 466.67 859.08 365.27 528.37 979.26 576.36 716.82 336.4 161.2 297.6 217.37 252.82 420.08 550.03 372.92
63.43 171.82 72.37 49.09 53.79 -35.09 66.55 72.4 224.52 75 453.92 -4.36 566.28 -191.25 115.98 86.33 64.8 92.82 344.58 113.77 86.78 81 173.61 112.71 321.32 159.57 738.45 665.62 1084.08 1593.99 1691.11 846.93 1296.48 717.93 1309.87 323.7 1679.28 1377.97 192.06 533.82 445 674.04 860.87 1136.57 951.63 1350.28 252.22 608.09 382.63 619.08 971.29 1679.28 14.6 87.76 109.45 67.15 112.77 18.49 53.35 131.3 49.45 193.37 186.73 348.17 234.35 141.2 103.85 125.82 189.87 131.67 57.8 -1 108.16 24.35 348.16 152.01 199.59 320.28 7.21 97.86 126.86 59.65 116.41 6.16 107.35 118.18 209.22 196.08 108.18 24.36 180.3 126.48 81.2 148.74 141.01 179.82 184.23 172.87 206.88 169.85 150.92 134.62 92.76
188.13 142.17 59.48 39.48 69.73 -134.86 168.51 61.6 232.11 70.52 579.32 80.61 1388.2 193.81 311.89 165.47 153.64 63.68 347.58 99.41 116.78 114.49 233.99 180.98 410.63 181.78 1421.27 1275.85 2220.56 3255.09 3300.78 1981.22 2818.12 1633.52 3179.02 957.55 3014.7 2723.52 518.66 2276.23 1107 1312.19 1740.72 2235.85 1982.64 3082.43 463.96 1329.93 791.29 1507.98 1958.03 3014.7 42.77 161.4 183.79 72.09 264.81 81.74 49.47 176.84 85.05 346.66 435.4 580.28 427.4 204.39 219.56 252.63 376.71 240.67 193.02 108.66 208.24 155.22 619.53 223.08 358.46 475.9 126.61 238.99 179.22 200.19 151.14 31.82 215.69 265.91 275.8 293.63 274.7 208.68 246.63 243.79 124.24 358.15 180.18 365.7 225.68 383.05 339.4 346.53 364.33 300.98 191.14
108.58 881.77 410.43 175 53.79 755.45 137.38 435.5 146.42 936.94 114 253.81 32.59 625.08 242.69 160.33 306.23 437.12 60.93 142.48 73.93 150.13 89.5 176.65 183.76 164.62 408.54 3063.26 1445.11 1498.56 3410.97 2171.78 1892.36 1235.39 915.44 1932.54 399.55 133.29 1436.84 1520.49 2541 1325.77 3183.83 1033.52 1017.78 994.94 2362.17 2314.25 863.57 1395.07 1948.76 399.55 1611.53 420.65 46.46 238 73.5 149.85 376.37 273.19 183.94 50.1 105.75 134.74 91.88 36.53 108.79 137.71 107.06 160.81 136.32 314.03 303.25 661.47 94.66 100.68 91.35 69.28 145.13 203.97 937.38 188.06 190.57 245.33 416.47 107.7 49.66 282.68 289.55 -50.85 577.33 389.65 562.51 1721.26 348.62 434.39 -2.76 510.74 171.61 229.39 306.65 195.2 239.87
720.29 240.72 403.49 226.22 139.46 218.19 300.53 347.97 690.9 273.13 480.87 196.08 375.82 381.21 689.08 276.47 496.45 355.09 690.16 497.04 220.71 248.41 375.25 409.64 439.37 630.18 353.88 367.55 504.67 411.08 673.57 387.17 373.86 327.26 313.98 290.75 425.93 654.76 294.76 545.82 292 440.31 386.49 463.27 619.93 366.71 192.93 330.73 427.93 318.63 792.07 425.93 252.42 711.17 753.75 267.63 489.34 329.87 239.6 470.15 361.94 499.95 415.39 411.12 506.89 473.95 450.98 344.76 753.43 629.19 544.17 421.69 356.83 421.03 317.65 408.65 334.63 317.26 372.61 366.73 672.58 840.21 1410.98 865.34 883.64 1160.85 1088.39 1171.52 1200.62 848.49 1190.16 816.02 898.06 1134.13 2032.95 1239.54 570.2 1326.94 521.49 1642.82 1524.6 754.85 860.15
2378.02 2132.48 612.68 7580.65 3759.37 1323.41 1569.18 1587.47 4368.83 2442.53 2099.64 5497.78 447.12 100.12 867.44 4253.88 1473.66 2273.03 1920.67 580.98 6408.08 8880.24 4095.43 5483.59 4659.58 4752.64 258.94 246.71 76.67 156.25 359.3 148.21 234.58 272.25 573.01 199.65 39.08 181.03 172.54 129.96 197 422.85 98.87 252.24 184.28 -35.06 19.76 307.98 197.58 311.93 181.28 39.08 388.02 395.43 3743.96 1272.96 1610 97.31 2723.82 1747.18 89.99 2784.28 36.2 821.25 3151.79 1500.86 2003.71 212.01 680.71 488.89 1761.19 1021.83 2006.54 720.31 52.59 1597.09 338.6 -6.02 758.6 3501.43 262.79 692.59 239.39 508.12 17.89 643.33 676.28 153.28 222.73 46.61 878.14 928.22 1096.65 962.89 441.65 420.25 490.98 339.84 999.13 1219.18 188.41 350.02 323.26
11225.71 14011.58 8234.45 4559.7 4630.97 5517.3 4217.04 7498.62 10810.35 2614.92 8917.78 2864.9 5385.75 1712.24 8551.63 4807.84 5049.13 5357.7 13664.41 7659.89 4648.83 6306.46 7368.1 5058.77 10060.34 10772.73 8818.22 6078.18 6492.82 4499.87 8233.27 5568.58 7132.74 7232.42 7885.73 4948.62 8104.33 6576.43 7924.71 7217.57 6415 7360.1 6777.13 7217.93 8091.2 7346.48 10248.61 10803.05 7983.21 10850.58 6752.67 8104.33 4876.3 6956.32 5163.69 7322.72 7837.54 4482.99 3687.05 4515.13 6231.13 8312.77 7836.2 9731.08 6076.47 9295.44 7011.02 8595.3 8951.24 6354.53 6844.12 4404.35 7642.02 5721.92 5920.77 8970.55 9046.87 6685.64 10490.77 10113.86 8834.13 7031.03 14490.97 8383.45 8794.65 14425.74 5580.36 10332.64 9286.8 8180.87 8907.51 8354 10297.36 10984.15 8551.92 11368.01 10956.26 11467.07 13713.21 8439.59 11553.69 12525.76 13853.31
-532.15 -947.19 252.8 -743.77 -241.06 -1113.99 -454.01 -384.71 -571.59 -576.49 -377.23 -409.58 -805.62 -2120.41 -600.39 -486.13 -207.99 -957.35 1226.51 -511.4 -426.42 -598.35 -319.18 -451.91 -495.83 -351.45 -177.42 -359.49 -521.17 -601.94 -394.75 -401.28 -523.62 -448.47 -379.72 -240.36 -353.64 -422.4 -548.44 -253.91 -225 -487.83 -427.44 -360.21 -459.28 -538.22 -475.26 -245.86 -456.84 -466.94 -313.12 -353.64 410.97 -148.29 77.44 -188.62 1993.62 -320.14 188.18 -520.98 -393.59 2500.75 -356.32 -18.69 -297.32 -416.69 1242.18 -202.1 504.98 -454.36 -370.78 100.69 355.82 -291.17 -354.47 -320.8 181.71 -239.96 -535.24 1747.11 -228.56 -222.44 -497.55 -815.04 -549.67 22.87 -550.53 -281.68 -281.06 -378.17 -413.85 -445.75 -625.12 -554.83 -687.44 -405.1 -528.74 -458.68 -514.82 -217.68 -220.13 -425.99 -384.16
-55.9 -58.44 -67.41 -52.29 -22.91 -110.74 74.06 62.68 -82.43 -102.98 -70.47 -34.86 -103.89 -71.88 26.32 40.08 -6.27 -41.01 -83.9 -8.84 -36.43 -19.44 -92.73 -30.34 -47.22 -60.59 -20.14 7.05 -7.76 -36.7 -45.03 -96.79 -3.14 55.94 -26.49 5.82 -18.56 -38.73 -16.43 -48.98 21 16.49 -17.98 -34.35 -17.01 13.27 -19.76 -30.62 -26.99 -46.89 -23.69 -18.56 112.65 68.59 -36.14 8.89 26.18 -83.69 122.22 -22.24 33.62 266.51 -2.86 -14.75 -33.04 188.59 66.26 12.88 21.21 28.06 -16.36 -27.91 28.3 39.57 1.05 -7.9 7.94 -22.09 -8.23 42.24 33.23 111.22 227.18 108.81 186.87 203.96 412.11 55.74 176.06 44.49 107.43 104.04 -99.78 213.32 472.98 622.3 136.33 575.56 111.54 745.76 253.78 289.44 635.28
527.85 321.83 377.72 299.85 133.48 275.21 379.95 248.55 401.31 407.46 322.3 333.33 195.55 767.56 122.81 200.41 141.1 473.82 191.77 337.99 205.71 182.53 372.02 357.63 230.98 384.78 136.18 64.45 88.32 271.61 95.81 274.24 219.92 93.24 131.48 122.12 178.77 239.57 210.54 173.94 73 112.5 163.79 40.24 79.38 59.7 95.99 66.5 177.34 142.57 147.29 178.77 153.33 117.01 181.73 104.68 139.96 120.66 99.91 93.18 170.09 88.17 98.13 135.73 6.19 -74.06 131.54 191.2 -23.23 102.53 329.34 156.51 124.33 110.58 265.06 207.29 188.66 172.69 401.43 122.59 187.27 404.43 168.98 299.74 137.17 251.61 -22.19 215.99 348.94 522.23 247.56 160.14 139.89 116.45 139.06 291.95 140.02 38.31 110.59 85.9 189.37 85.58 120.87
8934.77 3117.17 3774.21 6272.39 4293.29 6822.07 10415.4 5479.97 7179.06 5116.78 4779.64 6496.68 12131.18 8970.65 9473.65 7244.65 8226.39 3389.04 4573.45 3833.81 4019.91 6854.05 7001.48 8312.08 6285.66 3739.7 1945.86 3410.67 3611.33 3500.48 2627.21 4995.9 3290.42 3126.25 4357.41 1738.7 1246.52 1133.9 4811.72 3546.81 4491 2991.95 1994.39 2720.71 2223.62 2608.65 2548.51 2100.76 2474.09 3567.1 1437.88 1246.52 6542.07 6609.31 8830.2 11153.45 4940.75 15133.38 9729.31 11031.56 17300.99 5459.36 16370.75 9122.27 13098.58 5473.19 10510.1 12757.22 7663.55 9756.27 14385.09 8005.18 7077.97 11018.75 13025.9 11767.93 9129.29 12837.15 15283.26 8522.3 10129.95 13989.27 10793.12 12329.33 9557.02 9794.75 8657.43 11754.99 10845.92 18506.81 9227.94 12271.91 7647.21 8773.62 8387.4 6588.66 13942.66 10717.66 8176.06 10109.75 6580.96 10989.13 10954.28
